,,"Ice sheet mass loss, contributions to sea level rise and freshwater flux input to the climate system",No Interest,,,
"Daniele P., Antonio T.","ESYDA, ICR",Land use change,High,landuse,27,
"Daniele P., Antonio T.","ESYDA, ICR",Plant Phenology,High,"plant_phenology_high, plant_phenology_medium",6,
,,,,,,
Ocean & Sea-Ice,,,,,,
,,"Advancing Wind-Wave Climate Modelling for Coastal Zone Dynamics, Impacts, and Risk",No Interest,,,
,,Causality of Polar Amplification,No Interest,,,
Dorotea,ESYDA,"Ocean changes, drivers and impacts",High,"omip_geometry_physics, omip_momentum_fluxes_high_priority, ocean_meridional_overturning_streamfunctions, int_ocean_budgets, ocean_mesoscale, omip_transports_high_priority, seaice_state_monthly_basic        ",40,
Bonino - McAdam,ESYDA,Ocean Extremes,Medium,"Ocean_Temperature_Extremes. We request Oday.thetao at different levels, not only at 200 meters. Only daily thetao at 200 meters depth is available (variable ""Oday.thetao200"") in the Ocean_Temperature_Extremes variable group.  ",4,
,,"Paleoclimate research at the interface between past, present, and future",No Interest,,,
Dorotea,ESYDA,"Sea ice changes, drivers and impacts",High,"seaice_budget_area_monthly, seaice_budget_energy_monthly, seaice_budget_mass_monthly, seaice_dynamics_basic, seaice_global_monthly_basic, seaice_state_daily_basic, seaice_state_monthly_basic, seaice_budget_freshwater_monthly",87,
,,Wind driven Ocean Surface Waves,No Interest,,,
,,,,,1578,
